category,name,base,methodology,age,producer,location,miscellaneous
Vodka,Hangar One,"Wheat, Viogner",Pot (all non-grains)/Column (Grains),none,"St. George Spirits, Jorg Rupf","Alameda, Ca"
Vodka,Hangar Mandarin,"Wheat, Mandarin Blossom",Pot/Column,none,"St. George Spirits, Jorg Rupf","Alameda, Ca"
Vodka,Hangar Buddha,"Wheat, Buddha's Hand eau de vie (whole fruit )",Pot/Column,none,"St. George Spirits, Jorg Rupf","Alameda, Ca"
Vodka,Hangar Kaffir,"Wheat, Kaffir Lime eau de vie (fruit & leaf)",Pot/Column,none,"St. George Spirits, Jorg Rupf","Alameda, Ca"
Vodka,Gordan's vodka,Who knows,?,?,?,?
Vodka,Chopin,Potato,Column 4x,none,"Chopin, Tad Dorda",Podlasie region of Poland
Vodka,Fair,"93% Quinoa (Bolivia), 7% Wheat (France)",Column 5X,none,"Fair Trade Spirits, Jean-Francois Daniel","Cognac, France"
Vodka,Ketel One,Wheat,Pot Still 3X,Rested in tile,"Nolet Distillery, Carl Nolet Jr.","Schiedam, Netherlands"
Vodka,Sq. One,"Rye (organic, from North Dakota)",4 Column X1,none,"Sq. 1 Organic Spirits,  Allison Evanow",Idaho,All the waste products are processed into feed for dairy cows. One of the only only woman-owned distilleries.
Vodka,Sq. One Botanical,"Rye & pear, rose, chamomile, lemon verbena, lavender, rosemary, coriander and citrus peel",4 Column X1,none,"Sq. 1 Organic Spirits,  Allison Evanow",Idaho,They get their water from The Grand Tetons in Wyoming
Vodka,Sq. One Cucumber,Rye & cucumber,4 Column X1,none,"Sq. 1 Organic Spirits,  Allison Evanow",Idaho
Vodka,Sq. One Basil,"Rye & Basil (Genovese, Thai, Lemon and Sweet), coriander, honeysuckle and lemongrass",4 Column X1,none,"Sq. 1 Organic Spirits,  Allison Evanow",Idaho
Vodka,Tito's,Corn (American…NOT Texan),Pot Still 6X,none,"Mockingbird Distillery, Tito Beveridge","Austin, Texas"
Gin,Bombay
Gin,Hendrick's
Gin,Martin Miller's
Gin,209
Gin,Tanqueray 10
Gin,Ransom
Gin,Plymouth
Gin,Beefeater
Gin,Boodle's
Gin,Botanivore
Gin,Terroir
Gin,Dry Rye
Gin,Junipero
Gin,Gordan's Gin
Tequila,Siete blanco
Tequila,Siete repo
Tequila,Pueblo
Tequila,Chamucos repo
Tequila,Partida repo
Tequila,Partida Anejo
Tequila,El Tesoro blanco
Tequila,El Tesoro Anejo
Tequila,Crema de Mezcal
Tequila,Del Maguey Minero
Tequila,Del Maguy Vida
Tequila,Fortaleza blanco
Tequila,Fortaleza repo
Tequila,Fortaleza anejo
Rum & Cane,Appleton Reserve
Rum & Cane,Barbancourt 8
Rum & Cane,Gosling's
Rum & Cane,Flor de Cana 4
Rum & Cane,Flor de Cana 7
Rum & Cane,Pamperon Aniv
Rum & Cane,Lemonhart 151
Rum & Cane,Wray & Nephew
Rum & Cane,Diplomatico Reserva
Rum & Cane,Diplomatico Blanco
Rum & Cane,Santa Teresa
Rum & Cane,La Favorite blanco
Rum & Cane,La Favorite aged
Rum & Cane,Rhum JM
Rum & Cane,Sagatiba Velha
Rum & Cane,Sagatiba
Scotch Whisky+,Macallen 12,Barley (Lightly peated),Sm. Copper Still 3X,"12 yrs. ""New"" Sherry Cask  Spanish Oak","The Macallan Distillers Ltd,"," Morray, Scotland (Highland)",3rd (or 2nd) highest selling single malt. Was originally made in Speyside.
Scotch Whisky+,Abelour 12,Barley (Lightly peated),Copper pot 2X,"12 yrs.  Bourbon casks, finished in Sherry casks",Abelour Distillery,"Abelour, Scotland (Speyside)",Aberlour’ is a gaelic word meaning ‘mouth of the chattering burn [stream]’.
Scotch Whisky+,Lagavulin 16,Barley (highly peated),Copper pot 2X,16 yrs. ,White Horse Distillers,"Islay, Scotland","Lagavulin is an anglicization of the Gaelic lag a'mhuilin, meaning ""hollow by the mill""."
